PRESIDENT_NAME,STORAGE_ITEM,FROZEN_AREA,RNUM,COMPANY_NAME,FROZEN_WING_COUNT,GENERAL_WING_COUNT,GENERAL_AREA,COMPANY_TEL,COMPANY_ADDRESS,WARE_NO,STORAGE_AREA
도세호,,,49,주식회사 삼립,,,,010-5638-2501,전남광주통합특별시 광산구 하남산단천변우로 14 (도천동),2019A64600001475,
유지은,,,50,주식회사 일영이그린,,,,,전남광주통합특별시 나주시 동수농공단지길 100-12 (운곡동),2019A64600001516,
안순영,,,51,(주)경주냉장냉동,,,,010-3397-7069,경상북도 경주시 천북면 천북산단로1길 74-42,2019A64700000110,
이민재,,,52,(주)비지에프로지스,,,,054-975-5871,경상북도 칠곡군 석적읍 호국로 608,2019A64700000398,
김종식,,,53,(주)상도에프엔엘,,,,054-976-1111,경상북도 칠곡군 지천면 금호자원길 40,2019A64700000515,
송종화,,,54,교촌에프앤비(주) 동부복합센터,,,,054-971-9995,경상북도 칠곡군 가산면 송신로 78,2019A64700000975,
(주)정다운 신성푸드,,,55,(주) 정다운 거창공장,,,,055-883-5249,경상남도 거창군 위천면 당산농공길 40,2019A64800000065,
이민재,,,56,(주)BGF로지스,,,,055-795-2500,경상남도 진주시 정촌면 화개천로 50,2019A64800000081,
이성수,,,57,(주)극동로지스,,,,055-325-4064,경상남도 김해시 생림면 인제로 661,2019A64800000138,
이창헌,,,58,(주)김해로지스,,,,055-724-2130,경상남도 김해시 진례면 테크노밸리길 196,2019A64800000151,
장덕수,,,59,(주)농협물류,,,,055-350-0774,경상남도 밀양시 부북면 점필재로 229,2019A64800000174,
김한중,,,60,한중냉장,,,,010-2511-3336,경상남도 진주시 솔밭로56번길 18 (상평동),2019A64800000397,
송만우,,,61,(주)삼우에프앤지 김해냉장센터,,,,055-345-4123,경상남도 김해시 진례면 테크노밸리로 220,2019A64800000497,
이범권,,,62,(주)선진,,,,055-532-3220,경상남도 창녕군 대지면 경남대로 4897-66,2019A64800000530,
김기운,,,63,주식회사 지디씨,,,,070-4651-6930,"경상남도 창원시 진해구 신항6로 30, GDC (남문동)",2019A64800000704,
"민영학,신영수",,,64,씨제이대한통운(주),,,,051-719-5071,"경상남도 양산시 물금읍 제방로 27-8, 나동",2019A64800001449,
이민재,,,65,(주)비지에프로지스,,,,803-0833,제주특별자치도 제주시 우정로8길 16 (외도일동),2019A65000000386,
이민재,,,66,(주)비지에프로지스 서귀포센터,,,,0647639198,"제주특별자치도 서귀포시 토평공단로155번길 45, 1동 1층 (토평동)",2019A65000000407,
부인석,,,67,(주)풍인해운,,,,064-742-7885,제주특별자치도 제주시 오일장중길 105-1 (도두일동),2019A65000000823,
조화현,,,68,제주로지스틱스,,,,064-747-5990,제주특별자치도 서귀포시 대정읍 일주서로3000번길 155-28,2019A65000001568,
강상용,,,69,친우유통,,,,01026997229,제주특별자치도 제주시 영강길 129-1 (영평동),2019A65000001637,
김기준,,,70,케미칼네트웍스(주),,,,052-237-6111,울산광역시 울주군 온산읍 산남길 56 ,2019C63100000191,
임다빈,,,71,(주)안전물류센타,,,,0313323181,경기도 용인시 처인구 모현읍 포은대로896번길 42-37 (주)안전물류센타,2019C64100000232,
이강석,,,72,영진티앤엠(주),,,,0316827557,충청남도 당진시 신평면 당진항만로 73 영진티앤엠(주),2019C64400000081,
이봉희,,,73,엔케이수산(주),,,,051 265 5100,부산광역시 서구 원양로 244(암남동),2019F62600001176,
정문목,,,74,동원홈푸드 대구영업소,,,,07042557419,대구광역시 서구 평리로21길 21(1층 중리동),2019F62700000815,
신연화,,,75,(주)SRC,,,,070 77055401,인천광역시 제물포구 축항대로290번길 23(신흥동3가),2019F62800000037,
장덕수,,,76,(주)농협물류,,,,0221312151,경기도 안성시 미양면 강덕1길 161(농협안성농식품물류센터 4층),2019F64100000088,
이학명 외 1명,,,77,솜인터내셔널(주),,,,031 339 1133,"경기도 용인시 처인구 모현읍 곡현로 506-2(지하1,지상2층 일부호)",2019F64100000197,
김윤호,,,78,(주)신양포승지점,,,,031 686 9400,경기도 평택시 포승읍 평택항만길 267(주신양 냉동창고),2019F64100000430,
윤진,,,79,(주)에스피씨지에프에스,,,,031 7378411,"경기도 광주시 도척면 도척로 401-85(1~2층 전체호,3층 일부호)",2019F64100000518,
박선호,,,80,이천물류센터,,,,031 80112304,경기도 이천시 부발읍 중부대로1763번길 45(2층),2019F64100000596,
오광현 외 1명,,,81,청오DPK 용인HUB센터,,,,031 80942005,경기도 용인시 처인구 백암면 덕평로 140(1층일부),2019F64100000658,
공철,,,82,(주)일죽창고,,,,07086569260,"경기도 안성시 일죽면 사실로 161-41(A-2 2,3,4층)",2019F64100000669,
신영수,,,83,씨제이대한통운 김포SSG센터,,,,031 990 9103,"경기도 김포시 고촌읍 아라육로152번길 131(주에스에스지닷컴 김포2센터  2,3층)",2019F64100000677,
김희주,,,84,솜티앤엘(주),,,,031 334 1100,"경기도 용인시 처인구 모현읍 곡현로 506-2(지하1층일부,1층,2층일부,3층)",2019F64100000720,
신동섭,,,85,(주)코업로지스틱스,,,,031 693 5870,경기도 화성시 동탄구 동탄물류로 48(화성동탄물류단지비블럭 B동 2층 일부호 신동),2019F64100000835,
성희승,,,86,(주)한맥홈푸드,,,,031 531 3838,경기도 포천시 내촌면 금강로 3089(지하2층),2019F64100000893,
안병국,,,87,웰빙푸드시스템 주식회사,,,,,경기도 용인시 처인구 백암면 덕평로 140(2층 일부),2019F64100000899,
유인철,,,88,(주)한익스프레스 광주오포센터,,,,031 639 5595,"경기도 광주시 오포로 614(1,2층 일부호 문형동)",2019F64100000912,
양수일,,,89,(주)해피브릿지로지스,,,,070 50145653,경기도 안성시 죽산면 송문주로 219(지하1층),2019F64100000949,
최종일,,,90,세방(주),,,,031 6710780,경기도 안성시 양성면 남북대로 2066(지2층),2019F64100001101,
정문목 외 1명,,,91,동원홈푸드(화성센터),,,,,경기도 화성시 병점구 안녕남로 181(JW중외제약화성물류센터 1층일부 및 2층 전체호 안녕동),2019F64100001157,
정병주,,,92,주주네트워크(주),,,,,"경기도 이천시 마장면 서이천로 675(지하1층,지하2층)",2019F64100001501,
김창대,,,93,주식회사사공수산,,,,033 636 4040,강원특별자치도 속초시 방축길 128(1~3층 대포동),2019F64200001091,
양은석,,,94,(주)엔티로지스,,,,043 750 7740,충청북도 음성군 맹동면 덕금로 56,2019F64300000119,
유연웅,,,95,논산물류협동조합,,,,041 735 4055,충청남도 논산시 연무읍 동안로 1092(주해오름물류),2019F64400000342,
이구열 외 1명,,,96,(주)우양 청양2공장(뉴뜨레),,,,041 942 2911,충청남도 청양군 운곡면 신대길 14-26,2019F64400000606,
임성호,,,97,(주)제때연무센터,,,,041 740 1251,충청남도 논산시 연무읍 감바위로 44-13,2019F64400000714,
이경도,,,98,천일물류(주)논산지점,,,,041 741 7924,충청남도 논산시 연무읍 감바위로 44-13,2019F64400001476,
도세호,,,99,삼립,,,,062 600 5108,"전남광주통합특별시 광산구 하남산단천변우로 14(가,나동 1층 도천동)",2019F64600001027,
김종식,,,100,(주)상도에프엔엘,,,,054 976 1111,경상북도 칠곡군 지천면 금호자원길 40,2019F64700000363,
박연황,,,101,금성냉동(주),,,,053 851 0961,경상북도 경산시 진량읍 대구대로 535(A동 지하1층),2019F64700001060,
김영식,,,102,농업회사법인(주)키큰아이,,,,054 481 6259,경상북도 구미시 선산읍 죽장8길 18(1동 1층),2019F64700001064,
장덕수,,,103,(주)농협물류 경남영업소,,,,055 350 0774,경상남도 밀양시 부북면 점필재로 229(농협밀양물류센터 1층),2019F64800000091,
송만우,,,104,(주)삼우에프앤지 김해냉장센터,,,,031 2114111,"경상남도 김해시 진례면 테크노밸리로 220(1,2,3층)",2019F64800000344,
신영수 외 1명,,,105,씨제이대한통운 부산저온센터,,,,051 7165066,경상남도 양산시 물금읍 제방로 27-8(3동 1층),2019F64800000921,
조화현,,,106,(주) 제주로지스틱스,,,,064 747 5990,제주특별자치도 서귀포시 대정읍 일주서로3000번길 155-28,2019F65000000032,
부인석,,,107,(주)풍인해운,,,,064 7427885,제주특별자치도 제주시 오일장중길 105-1(도두일동),2019F65000000865,
신영수 외 1명,,,108,씨제이대한통운주식회사,,,,,제주특별자치도 제주시 일주서로 7263(1~2층 외도이동),2019F65000001003,
유선영,일반,,109,샬롬종합물류(주),,,,0226641130,서울특별시 강서구 하늘길 210 (공항동),2019M61100000111,
이봉희,냉동ㆍ냉장,,110,엔케이수산(주),,,,0512667769,부산광역시 서구 원양로 244 (암남동),2019M62600000075,
김갑숙,냉동ㆍ냉장,,111,(주)장수 부산지점,,,,0512659600,부산광역시 사하구 다대로 605 (다대동),2019M62600000119,
최수삼,"일반, 냉동ㆍ냉장",,112,(주)부강유통자가장치장,,,,,부산광역시 강서구 미음국제2로 25 (미음동),2019M62600000375,
류호재,"일반, 냉동ㆍ냉장",,113,(주)유금유통 자가용보세창고,,,,0513150257,부산광역시 사하구 감천항로 221-14 (구평동),2019M62600000568,
이기주,일반,,114,에이스알엠에스마린서비스(주),,,,,부산광역시 영도구 해양로176번길 19 (청학동),2019M62600000621,
서영한,"일반, 냉동ㆍ냉장",,115,(주)피엔비해상 자가용보세창고,,,,,부산광역시 강서구 녹산산단381로86번길 14-17 (송정동),2019M62600000636,
한동석,일반,,116,백마보세창고,,,,0328890581,인천광역시 중구 축항대로 124,2019M62800000037,
최석영,일반,,117,E1CT제2보세창고,,,,0328802355,인천광역시 중구 서해대로93번길 42,2019M62800000074,
신연화,냉동ㆍ냉장,,118,(주)SRC 보세창고,,,,07077055401,인천광역시 중구 축항대로290번길 23,2019M62800000076,
조용철,일반,,119,농심인천보세창고,,,,0324302371,인천광역시 서구 북항로120번길 29 (원창동),2019M62800000122,
김인겸,일반,,120,더로지스보세창고,,,,0328896609,인천광역시 중구 축항대로86번길 70,2019M62800000124,
양영식,일반,,121,(주)에버마린 보세창고,,,,0328890277,인천광역시 중구 축항대로296번길 56-29,2019M62800000303,
조광옥,일반,,122,인천북항다목적부두 보세창고,,,,0325711247,인천광역시 서구 북항로 135 (원창동),2019M62800000601,
MCMURRAY BRIAN JASON,일반,,123,지엠테크니컬센터코리아(주) 보세창,,,,0323638225,인천광역시 부평구 부평대로 233 (청천동),2019M62800000724,
박성욱,일반,,124,(주)디엔비로지스틱스,,,,0529309000,울산광역시 남구 신항로716번길 60 (황성동),2019M63100000247,
장경태,일반,,125,원스탑 보세창고,,,,0317074630,경기도 광주시 곤지암읍 경충대로 65-5,2019M64100000090,
김윤호,냉동ㆍ냉장,,126,(주)신양냉동창고,,,,0316599518,경기도 평택시 포승읍 평택항만길 267,2019M64100000099,
강민석,"일반, 냉동ㆍ냉장",,127,보라티알 보세창고,,,,,경기도 이천시 마장면 프리미엄아울렛로 96,2019M64100000159,
REBELO PIZARRO RODRIGO ALVARO,일반,,128,엘오케이 보세창고,,,,,경기도 이천시 대월면 대월로932번길 94,2019M64100000171,
최옥희,냉동ㆍ냉장,,129,(주)산조냉동보세창고,,,,0316867870,경기도 평택시 오성면 오성서로 141,2019M64100000249,
공철,냉동ㆍ냉장,,130,(주)일죽창고 일죽냉동,,,,07086569620,경기도 안성시 일죽면 사실로 161-41,2019M64100000313,
곽성문,일반,,131,인퍼니스(주) 보세창고,,,,,경기도 광주시 곤지암읍 신만로436번길 6,2019M64100000344,
최종만,일반,,132,다다앤코로넷 보세창고,,,,0316376996,경기도 이천시 마장면 덕평로 787,2019M64100000355,
황병운,일반,,133,용마로지스 이천보세창고,,,,,경기도 이천시 마장면 덕평로 831-35,2019M64100000446,
류주환,일반,,134,케이씨티시 서이천 보세창고,,,,,경기도 이천시 마장면 이장로157번길 135,2019M64100000554,
최종일,일반,,135,세방 수도권3물류센타 보세창고,,,,0316732637,경기도 안성시 양성면 남북대로 2066,2019M64100000644,
이학명,냉동ㆍ냉장,,136,솜인터내셔널(주)냉장 보세창고,,,,,경기도 용인시 처인구 모현읍 곡현로 506-2,2019M64100000645,
"이광수, 이주엽","일반, 냉동ㆍ냉장",,137,아미종합물류(주) 문형센타 보세창고,,,,,경기도 광주시 오포읍 오포로 636,2019M64100000729,
"오광현, 김영훈",냉동ㆍ냉장,,138,청오디피케이 용인허브센터 보세창고,,,,03180942005,경기도 용인시 처인구 백암면 덕평로 140,2019M64100000738,
클라우스헨릭베스터가드올데거,일반,,139,샤넬코리아 유한회사 자가용 보세창고,,,,,경기도 부천시 신흥로511번길 80 (오정동),2019M64100000742,
조윤주,일반,,140,(주)세바로지스틱스코리아 부천보세창고,,,,0225575769,경기도 부천시 신흥로511번길 80 (오정동),2019M64100000752,
최창석,일반,,141,티엔씨보세창고,,,,01033837370,충청북도 청주시 흥덕구 강내면 저산길 120-3,2019M64300000085,
이민재,일반,,142,충주축협 사료사업소,,,,,충청북도 충주시 하풍1길 21 (풍동),2019M64300000237,
윤태영,"일반, 냉동ㆍ냉장",,143,(주)보림로지스틱스청주냉장,,,,0432604011,충청북도 청주시 흥덕구 옥산면 오송가락로 834,2019M64300000535,
김창순,냉동ㆍ냉장,,144,광진냉장(주) 보세창고,,,,0415685342,충청남도 천안시 서북구 천일고1길 38 (신당동),2019M64400000324,
김정림 외 2,"일반, 냉동ㆍ냉장",,145,우일수산(주) 보세창고,,,,0419558133,충청남도 서천군 장항읍 장항공단길 64,2019M64400000340,
전영현,일반,,146,삼성전자(주)천안보세창고,,,,,충청남도 천안시 서북구 번영로 465 (성성동),2019M64400000473,
"민관기, 민명술",일반,,147,(주)코스모스악기 보세창고,,,,0415528845,충청남도 천안시 동남구 풍세면 성엽자기길 59,2019M64400000501,
"나봉안, 나승엽","일반, 야적전용",,148,(주)서광산업 아산 보세창고,,,,0415464936,충청남도 아산시 음봉면 음봉로 232,2019M64400000520,
배명조,야적전용,,149,평택항서부두 영업용보세창고,,,,0316838833,충청남도 당진시 신평면 당진항만로 161,2019M64400000605,
"쿠니마사 요시히로, 전동국",냉동ㆍ냉장,,150,도레이인터내셔날코리아(주) 당진 보세창고,,,,0413528350,충청남도 당진시 송산면 동곡로 65-18,2019M64400000762,
"허세홍, 김성민","일반, 야적전용",,151,GS칼텍스(주) 보세창고,,,,0616802225,전라남도 여수시 중흥3로 18 (중흥동),2019M64600000260,
김대발,일반,,152,(유)대발마린서비스 보세창고,,,,0616653337,전라남도 여수시 수정1길 2 (수정동),2019M64600000559,
권소연,일반,,153,(주)아이온 보세창고,,,,07043526581,경상남도 김해시 진례면 테크노밸리길 170-45,2019M64800000200,
유태식,"화장품, 의료용품 등",,154,국제창고㈜,,,,032-884-1519,인천광역시 중구 서해대로 94번길 100,2019P62800000134,
권대탁,철재류 ,,155,㈜경안인터내셔날,,,,032-579-0742,인천광역시 중구 북성동1가 6-2 등,2019P62800000135,
양민석,"화공품, 사료",,156,㈜골트네트웍스,,,,032-889-4881,인천광역시 중구 항동7가 1-26,2019P62800000136,
김준호,철강재,,157,㈜연성물류,,,,032-773-5611,인천광역시 중구 북성동1가 4-250 등,2019P62800000137,
장철수,철재류 ,,158,㈜삼웅,,,,032-772-3125,인천광역시 중구 북성동1가 6-44,2019P62800000138,
허인철,수지,,159,세방광양국제물류㈜,,,,061-798-7428,전남광주통합특별시 광양시 항만7로 6,2019P64600000162,
박찬복,"컨테이너, 소화물 외",,160,㈜롯데글로벌로지스,,,,061-794-7503,전남광주통합특별시 광양시 항만4로 19,2019P64600000176,
김경태,"LME, 우드펠렛",,161,광양항서부컨테이너터미널㈜,,,,061-797-0242,전남광주통합특별시 광양시 컨부두로 150,2019P64600000180,
박찬구,"자동차부품(배터리,격리판,납 등)",,162,세방전지㈜,,,,02-3451-6251,전남광주통합특별시 광양시 항만7로 13,2019P64600000181,
최종일,"기자재, 철제품 등 ",,163,세방㈜ 목포지사,,,,061-462-8168,전남광주통합특별시 영암군 삼호읍 대불로 629,2019P64600000265,
장영재,철제품,,164,㈜에스피네이처,,,,054-278-8236,경상북도 포항시 남구 동해안로 6262,2019P64700000267,
최용,"해양플랜트, 조선기자재",,165,마산아이포트 주식회사,,,,055-240-4600,경상남도 창원시 마산합포구 드림베이대로 201,2019P64800000218,
신연화,식품류,2482.14,166,(주)SRC,1,0,0,070-7705-5401,인천광역시 제물포구 신흥동3가 45번지 1호,2019S34901720004,0
박병호,"공산품, 식품류",560.99,167,(주)세인티앤엘,1,1,24228.8,02-6011-3064,인천광역시 영종구 운서동 3170번지 6호,2019S34901720008,0
최동원,정부 양곡,11454.76,168,(주)부신물류,3,0,0,032-888-6255,인천광역시 서해구 원창동 388번지,2019S35601900001,0
이국환,"칼라박스, 스트레치필름, 이어폰, 테이프 등",0,169,(주)서브원,0,1,12768.88,031-647-2329,경기도 평택시 진위면 갈곶리 729번지 1호 (주)서브원,2019S39103170001,0
강병구,알루미늄제품,0,170,롯데글로벌로지스(주),0,3,8043.11,031-669-8300,경기도 평택시 모곡동 445번지,2019S39103170004,0
강병구,-,2288,171,롯데글로벌로지스(주),1,1,7950,02-2170-3742,경기도 평택시 진위면 가곡리 538번지 3호 롯데제과(주)평택공장,2019S39103170005,0
김영광,"화장품, 의류, 식품",0,172,(주)로지비,0,1,1223,010-9442-8613,경기도 남양주시 화도읍 창현리 152번지 6호 화도물류센터,2019S39904200001,0
이민기,"프린터,프로젝트 빔 외",0,173,한국복합물류(주),0,1,4585.1,031-460-2030,경기도 군포시 부곡동 1230 한국복합물류(주) O동,2019S40202020002,0
허서홍,"의류,가전,생활용품등",0,174,(주)지에스리테일,0,1,40758.1,02-2007-4545,경기도 군포시 당정동 1103번지,2019S40202020003,0
신영수,"의류, 화장품 등",0,175,씨제이대한통운(주),0,1,154029.9,031-725-9207,경기도 용인시 처인구 양지읍 양지리 914,2019S40504840001,0
황병운,"콘텍트 렌즈, 의약외품 등",0,176,용마로지스 주식회사,0,1,16189.12,02-3290-6413,경기도 용인시 처인구 양지면 양지리 산 89번지 7호,2019S40504840003,0
조희태,축산물,1336,177,주식회사 티에프글로벌냉장,1,0,0,070-75992829,경기도 용인시 기흥구 공세동 193번지 1호 요진그린냉장,2019S40504840005,0
신영수,"문구, 잡화",0,178,씨제이대한통운(주),0,1,8831.5,031-725-9182,경기도 용인시 처인구 백암면 백봉리 755,2019S40504840006,0
토리이타카유키,의류,0,179,한국일본통운(주),0,1,6417.32,031-339-4011,경기도 용인시 처인구 양지읍 평창리 664-3 양지물류,2019S40504840009,0
이세희,"화장품, 건축자재, TV 등",0,180,씨앤아이로지스틱스(주),0,1,3493.92,031-321-0098,경기도 용인시 처인구 포곡읍 금어리 623번지 2호 신성물류센터,2019S40504840014,0
이국환,"간지, 파렛트, 라벨, 테이프 등",0,181,(주)서브원,0,1,5017.6,031-949-5771,경기도 파주시 신촌동 721번지 5호,2019S40603260001,0
유인철,건강식품,0,182,한익스프레스,0,1,11732.5,031-639-5509,경기도 이천시 부발읍 가산리 322번지,2019S40701960002,0
최종만,식품 및 공산품,0,183,다다앤코로넷,0,1,4787,0316376996,경기도 이천시 마장면 덕평리 526번지 5호,2019S40701960003,0
이정배,유아용품,0,184,나모웰니스,0,1,4290,031-638-1525,경기도 이천시 호법면 매곡리 567번지,2019S40701960006,0
김종호,생활용품,0,185,트라이엄프로지스,0,1,1980.7,031-8011-0200,경기도 이천시 호법면 안평리 512,2019S40701960008,0
김기록,건강보조식품,0,186,현주물류,0,1,7514.66,0316341898,경기도 이천시 부발읍 고백리 250-3,2019S40701960009,0
류주환,주류,0,187,케이씨티시 서이천물류센터,0,1,17818,031-637-8503,경기도 이천시 마장면 장암리 714번지,2019S40701960010,0
오인호,"의류,잡화",0,188,이앤씨지엘에스,0,1,17402,0315260035,경기도 이천시 장호원읍 이황리 435번지 8호,2019S40701960011,0
김우건,공산품,0,189,디앤비파트너스,0,1,13859,0313367346,경기도 이천시 마장면 덕평리 526번지 5호,2019S40701960012,0
김동주,"택배물품보관 및 분류, 발송",0,190,로젠(주),0,1,9740,02-3415-8937,경기도 이천시 대월면 초지리 57번지,2019S40701960015,0
황성우,LGU+ 통신장비 설치자재(Cable/Bracket류),0,191,삼성에스디에스(주),0,1,1815,02-6484-1301,경기도 이천시 호법면 안평리 83번지,2019S40701960017,0
조선혜,의약품,0,192,(주)지오영,0,1,2940,031-8048-7702,경기도 이천시 마장면 오천리 118번지 15호,2019S40701960018,0
강신호,아이스크림 원부재료 등,1322,193,씨제이대한통운 주식회사,1,0,0,031-629-1536,경기도 이천시 마장면 오천리 118번지 15호,2019S40701960019,0
최종일,건강식품 등,2539.03,194,세방(주),1,1,4459.52,031-671-0780,경기도 안성시 양성면 이현리 산 22번지,2019S40802080004,0
황병운,의류,0,195,용마로지스 주식회사,0,1,10648,02-2135-5013,경기도 안성시 양성면 도곡리 40번지 4호 1층,2019S40802080006,0
공철,식품 등,38457.87,196,주식회사 일죽창고,1,0,0,070-8656-9620,"경기도 안성시 일죽면 방초리 221번지 5호 A-2동 2층,3층,4층",2019S40802080007,0
신영수,자동차 부품,0,197,씨제이대한통운 주식회사,0,1,3946,010-7166-8170,경기도 안성시 대덕면 소내리 205,2019S40802080008,0
